UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,LONG,LAT,ALT
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07306,2207306,Paes Landim,-42.256957629,-7.7755629145,199
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,07355,2207355,Pajeú do Piauí,-42.816936089,-7.8525200921,283
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,07405,2207405,Palmeira do Piauí,-44.232568579,-8.7295011187,284.8
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,07504,2207504,Palmeirais,-43.061843522,-5.979796836,89.7
22,Piauí,04,Sudeste Piauiense,013,Picos,07553,2207553,Paquetá,-41.701385245,-7.101466244,333.67
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,07603,2207603,Parnaguá,-44.634314613,-10.21718097,333.24
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,07702,2207702,Parnaíba,-41.778170592,-2.9033601445,6.62
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,07751,2207751,Passagem Franca do Piauí,-42.4405267,-5.8562473203,130.49
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07777,2207777,Patos do Piauí,-41.252281396,-7.680763935,257.78
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,07793,2207793,Pau D'Arco do Piauí,-42.388865497,-5.2510934294,125
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07801,2207801,Paulistana,-41.147096485,-8.1414361348,355.4
22,Piauí,03,Sudoeste Piauiense,009,Floriano,07850,2207850,Pavussu,-43.221752302,-7.9642869547,332.16
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,07900,2207900,Pedro II,-41.458559933,-4.4270552654,603.5
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07934,2207934,Pedro Laurentino,-42.28607367,-8.0668825943,262.06
22,Piauí,04,Sudeste Piauiense,013,Picos,08007,2208007,Picos,-41.468826714,-7.0813739121,221.1
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,08106,2208106,Pimenteiras,-41.415158607,-6.2416884096,275.66
22,Piauí,04,Sudeste Piauiense,014,Pio IX,08205,2208205,Pio IX,-40.618272786,-6.8326873012,469.18
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,08304,2208304,Piracuruca,-41.709041549,-3.929287493,72.23
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,08403,2208403,Piripiri,-41.778504852,-4.2760686932,159.24
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,08502,2208502,Porto,-42.710925999,-3.891422995,41.62
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,08551,2208551,Porto Alegre do Piauí,-44.194837101,-6.9717246866,183.09
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,08601,2208601,Prata do Piauí,-42.204223675,-5.664797693,92.17
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,08650,2208650,Queimada Nova,-41.417024922,-8.585425346,434.75
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,08700,2208700,Redenção do Gurguéia,-44.58121416,-9.4934482414,319.96
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,08809,2208809,Regeneração,-42.685024231,-6.2401830211,157.1
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,08858,2208858,Riacho Frio,-44.952530048,-10.128727688,420.4
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,08874,2208874,Ribeira do Piauí,-42.714043491,-7.6905755011,202.39
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,08908,2208908,Ribeiro Gonçalves,-45.245638684,-7.5580342449,213.01
22,Piauí,03,Sudoeste Piauiense,009,Floriano,09005,2209005,Rio Grande do Piauí,-43.140182786,-7.7708571198,294.87
22,Piauí,04,Sudeste Piauiense,013,Picos,09104,2209104,Santa Cruz do Piauí,-41.761925689,-7.1776264961,217.6
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,09153,2209153,Santa Cruz dos Milagres,-41.958445953,-5.8081209983,137.76
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,09203,2209203,Santa Filomena,-45.920556441,-9.1067957053,293.59
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,09302,2209302,Santa Luz,-44.129585906,-8.9446242168,329.61
22,Piauí,04,Sudeste Piauiense,013,Picos,09377,2209377,Santa Rosa do Piauí,-42.280813876,-6.8014550582,165.06
22,Piauí,04,Sudeste Piauiense,013,Picos,09351,2209351,Santana do Piauí,-41.518480557,-6.9490717639,352.28
